Nombre o título de la categoría de información,Descripción del contenido la categoría de información,Idioma,Medio de conservación o soporte,Formato,Disponibilidad de la información,Lugar de consulta o ubicación física,Lugar de publicación
Inventarios Documentales de Archivo Central,El Acuerdo 027 de 2006 define la herramienta como el Instrumento de recuperación de información que describe de manera exacta y precisa las series o asuntos de un fondo documental y como instrumento de recuperación de la información de los archivos debidamente organizados como lo establecen las TRD y TVD es necesario que la gestión pública elabore dichos elementos tal como lo dispone el artículo 2.8.2.5.8. del Decreto 1080 de 2015. Véase la tipología documental que conforma el activo de información en la Tabla de Retención de Abastecimiento y Servicios Generales publicada en la página del Icfes en el ítem de Acceso a la Información Pública numeral 10.,Español,Físico -Electrónico- Digital,Texto,Publicada,Página web del Icfes,https://www.icfes.gov.co/web/guest/transparencia-acceso-informacion-publica
Inventarios Documentales de Archivo de Gestión,El Acuerdo 027 de 2006 define la herramienta como el Instrumento de recuperación de información que describe de manera exacta y precisa las series o asuntos de un fondo documental y como instrumento de recuperación de la información de los archivos debidamente organizados como lo establecen las TRD y TVD es necesario que la gestión pública elabore dichos elementos tal como lo dispone el artículo 2.8.2.5.8. del Decreto 1080 de 2015. Véase la tipología documental que conforma el activo de información en la Tabla de Retención de Abastecimiento y Servicios Generales publicada en la página del Icfes en el ítem de Acceso a la Información Pública numeral 10.,Español,Físico -Electrónico- Digital,Texto,Publicada,Página web del Icfes,https://www.icfes.gov.co/web/guest/transparencia-acceso-informacion-publica
Planes Institucionales de Archivos - PINAR,"El Plan Institucional de Archivos - PINAR es un instrumento para la planeación de la función archivística, el cual se artícula con los demás planes y proyectos estratégicos previstos por el Icfes. Con base en lo anterior, la gestión documental en las entidades públicas se desarrollará a partir de los instrumentos archivísticos de que trata el artículo 2.8.2.5.8. del Decreto 1080 de 2015. Véase la tipología documental que conforma el activo de información en la Tabla de Retención de Abastecimiento y Servicios Generales publicada en la página del Icfes en el ítem de Acceso a la Información Pública numeral 10.",Español,Físico -Electrónico- Digital,Texto,Publicada,Página Web del Icfes,https://www.icfes.gov.co/web/guest/transparencia-acceso-informacion-publica
Programas de Gestión Documental - PGD,"Es el Instrumento Archivístico que formula a corto, mediano y largo plazo el desarrollo sistemático de los procesos archivísticos, encaminados a la planificación, procesamiento, manejo y organización de la documentación producida y recibida por una entidad, desde su origen hasta su destino final, con el objeto de facilitar su utilización y conservación. (AGN, 2014). Con base en lo anterior, la gestión documental en las entidades públicas se desarrollará a partir de los instrumentos archivísticos de que trata el artículo 2.8.2.5.8. del Decreto 1080 de 2015. Véase la tipología documental que conforma el activo de información en la Tabla de Retención de Abastecimiento y Servicios Generales publicada en la página del Icfes en el ítem de Acceso a la Información Pública numeral 10.",Español,Físico -Electrónico- Digital,Texto,Publicada,Página web del Icfes,https://www.icfes.gov.co/web/guest/transparencia-acceso-informacion-publica
Tablas de Retención Documental - TRD,"El Acuerdo 027 de 2006 define la herramienta como el listado de series, con sus correspondientes tipos documentales, a las cuales se asigna el tiempo de permanencia en cada etapa del ciclo vital de los documentos. Con base en lo anterior, la gestión documental en las entidades públicas se desarrollará a partir de los instrumentos archivísticos de que trata el artículo 2.8.2.5.8. del Decreto 1080 de 2015. Véase la tipología documental que conforma el activo de información en la Tabla de Retención de Abastecimiento y Servicios Generales publicada en la página del Icfes en el ítem de Acceso a la Información Pública numeral 10.",Español,Físico -Electrónico- Digital,Texto,Publicada,Página web del Icfes,https://www.icfes.gov.co/web/guest/transparencia-acceso-informacion-publica
Tablas de Valoración Documental - TVD,"El Acuerdo 027 de 2006 define la herramienta como el listado de asuntos o series documentales a los cuales se asigna un tiempo de permanencia en el archivo central, así como una disposición final. Con base en lo anterior, las entidades públicas deberán organizar sus fondos acumulados, teniendo en cuenta el Acuerdo 002 de 2004, por el cual se establecen los lineamientos básicos para la organización de Fondos Acumulados. Véase la tipología documental que conforma el activo de información en la Tabla de Retención de Abastecimiento y Servicios Generales publicada en la página del Icfes en el ítem de Acceso a la Información Pública numeral 10.",Español,Físico -Electrónico- Digital,Texto,Publicada,Página web del Icfes,https://www.icfes.gov.co/modelo-integrado-de-planeacion-y-gestion
Conceptos Jurídicos,Es la interpretación de las normas doctrina y jurisprudencia respecto de circunstancias fácticas que se requieran en la toma de decisiones al interior de la Entidad. Consta de la solicitud y respuesta expedida por la OAJ,Español,Físico -Electrónico- Digital,Documentos gráficos,No publicada,N/A,N/A
Información de convocatorias de trabajos de investigación,"Documentos con información personal (como cédula de ciudadanía, CV, entre otros) de los participantes de las convocatorias y de las universidades.",Español,Físico -Electrónico- Digital,Texto,Disponible,https://www.icfes.gov.co/web/guest/convocatorias-investigacion,N/A
Sistema Integrado de Conservación,"Es una herramienta de mejores prácticas cotidianas para el tratamiento físico y técnico de la información, con miras a la preservación y conservación de los documentos de archivo en las diferentes fases del ciclo de vida de la información. Con base en lo anterior, las entidades públicas contemplar en la función archivística el debido tratamiento a los documentos tanto físicos como en soportes digitales y electrónicos, teniendo en cuenta el Acuerdo 006 de 2014 que define los parámetros para el desarrollo e implementación del los componentes del Plan de Conservación Documental y el Plan de Preservación Digital a Largo Plazo. Así mismo, El Archivo General de la Nación en desarrollo de la Ley 594 de 2000 – Ley General de Archivos, Titulo XI, Conservación de Documentos, Artículo 46 en el cual se establece que “los archivos de la Administración Pública deberán implementar un Sistema Integrado de Conservación en cada una de las fases del ciclo vital de los documentos”. Durante la vigencia 2020 se hará la respectiva actualización de la Tabla de Retención Documental para que se refleje el activo en el listado maestro de Series y Subseries Documentales, una vez sea aprobada por el Archivo General de la Nación.",Español,Físico -Electrónico- Digital,Texto,No disponible,N/A,N/A
Trasferencias documentales,"El Acuerdo 027 de 2006 define la herramienta como la remisión de los documentos del archivo de gestión al central, y de éste al histórico, de conformidad con las tablas de retención y de valoración documental vigentes. Véase la tipología documental que conforma el activo de información en la Tabla de Retención de Abastecimiento y Servicios Generales publicada en la página del Icfes en el ítem de Acceso a la Información Pública numeral 10.",Español,Físico -Electrónico- Digital,Texto,Publicada,Página web del Icfes,https://www.icfes.gov.co/web/guest/transparencia-acceso-informacion-publica
Informes a Entes de control/Informes a otros organismos del Estado/Informes internos de gestión,Informes que recopilan la gestión judicial de la entidad.,Español,Físico -Electrónico- Digital,Documentos gráficos,Disponible,Archivo físico OAJ,N/A
Historiales de Baja de Bienes,"En este activo se encuentra las Resolución de bajas de bienes, junto con los documentos que define la Resolución de bajas 554 de 2016 (Informe del Estado de los bienes del ICFES que van a ser dados de baja, acta del Comité de bajas, concepto técnico emitido por la Dirección de Tecnología, cuando se trate de equipos de cómputo o de tecnología, fotocopiadoras o aparatos electrónicos, concepto técnico emitido por la Subdirección de Abastecimiento y Servicios Generales, indicando la pertinencia y el valor de los bienes, certificación contable expedida por la Subdirección Financiera y Contable). Adicionalmente a estos dependiendo la modalidad de baja reposan documentos adicionales como: enajenación onerosa - por medio de subasta virtual, documentos de aceptación valor base para salir en subasta, reavaluos de disminución del monto para salir a la venta, actas de adjudicación de los bienes con la documentación comercial de la empresa que compra los bienes, cedula de representante legal, cámara y comercio, Rut y fotografías de la entrega.",Español,Electrónico - Digital,Texto,Publicada,Archivo de Gestión del Técnico Administrativo de Inventarios de la Subdirección de Abastecimiento y Servicios Generales,https://www.icfes.gov.co/web/guest/bajas-por-enajenacion-a-titulo-oneroso / https://www.icfes.gov.co/web/guest/bajas-por-enajenacion-a-titulo-gratuito
Inventarios de Bienes Muebles e Inmuebles,"Conforme lo establece el Manual de Bienes e Inventarios periódicamente se hace una verificación anual de activos, por una firma externa quienes entregan un Informe final del estado de bienes y para los Inmuebles un avaluó comercial de los bienes, actas individuales por usuario de la asignación de los mismos.",Español,Electrónico - Digital,Texto,Disponible,Archivo de Gestión del Técnico Administrativo de Inventarios de la Subdirección de Abastecimiento y Servicios Generales,N/A
Historiales de Bienes Inmuebles,"Expedientes conformados por los siguientes documentos: escrituras, Certificados de libertas y tradición, pagos de impuestos por año y avalúos comerciales.",Español,Electrónico - Digital,Texto,Disponible,Archivo de Gestión del Técnico Administrativo de Inventarios de la Subdirección de Abastecimiento y Servicios Generales,N/A
Historiales de Bienes Devolutivos por Usuario,"Este activo se conforma de expedientes que integran los registros de las siguientes actividades de la gestión de bienes: Ingresos de Bienes - Movimiento de Inventarios, Relación de Bienes devolutivos por usuario, Paz y Salvo por concepto de Bienes, Traslados de Bienes, Movimiento de bienes devolutivos.",N/A,Electrónico - Digital,Texto,Disponible,N/A,N/A
Información de personas registradas en el Seminario Internacional,Información personal de los registrados en el Seminario Internacional de Investigación y en los talleres,Español,Electrónico - Digital,Digital,Disponible,Carpeta Compartida,N/A
Actas de Comité Asesor del Programa de Gestión de Investigación sobre Calidad de la Educación,Actas de Comité Asesor del Programa de Gestión de Investigación sobre Calidad de la Educación donde se toman decisiones sobre las convocatorias y la agenda del seminario internacional de investigación,Español,Físico -Electrónico- Digital,Texto,Disponible,N/A,N/A
Planes Anuales de Investigación,Se define el plan de actividades de la Oficina de Gestión de Proyectos de Investigación,Español,Electrónico - Digital,Digital,Disponible,N/A,N/A
Diccionario de variables,Diccionarios de variables y documentos explicativos de las bases de datos con resultados de pruebas estandarizadas,Español,Electrónico - Digital,Digital,Disponible,N/A,N/A
Reportes Institucionales - valor agregado y aporte relativo,Reportes que muestran el desarrollo de la investigación de aporte relativo por institución-grupo de referencia.,Español,Electrónico - Digital,Digital,Publicada,Página web del Icfes,Sección de Investigaciones de la Página web
"Bases de datos de resultados de investigaciones internas, valor agregado y aporte relativo","Bases de datos que contiene información personal y resultados de las pruebas aplicadas por el Instituto y variables con información socioeconomica de los examinandos. Además, tienen información de las investigaciones internas, valor agregado y aporte relativo",Español,Electrónico - Digital,Bases de datos,No publicada,N/A,N/A
"Códigos para generar los reportes de investigaciones internas, valor agregado y aporte relativo","Códigos en archivo .do o .R con documentación explicativa necesarios para la realización de los reportes de investigaciones internas, valor agregado y aporte relativo.",Español,Electrónico - Digital,Texto,No disponible,N/A,N/A
Resultados de investigaciones internas,Investigaciones internas sobre temas de calidad de la educación.,Español,N/A,N/A,N/A,N/A,N/A
Base de datos de contacto con grupos de interés,"Base de datos con información de contacto con rectores universitarios, investigadores, conferencistas y otros relacionados con educación",Español,Electrónico - Digital,Bases de datos,No publicada,N/A,N/A
Acta de reunión de Comité Paritario de Seguridad y Salud en el Trabajo - COPASO,"Temas tratados, conclusiones y compromisos de la reunión.",Español,Físico,Digital,Disponible,N/A,N/A
Plan de Desarrollo de Talento Humano,Documento que establece las acciones a realizar en cada uno de los programas de Talento Humano. - Hacer la descripción del contenido de este activo,Español,Físico,Digital,Disponible,N/A,N/A
Manual Específico de Funciones y Competencias Laborales,"Contiene las funciones, ubicación, requisitos académicos y de experiencia de cada uno de los cargos de la planta del ICFES",Español,Físico,Digital,Disponible,N/A,N/A
Acta de reunión de Comité de Mejoramiento,"Temas tratados, conclusiones y compromisos de la reunión.",Español,Físico -Electrónico- Digital,Texto,"Ni disponible,Ni publicada",N/A,N/A
Acta de reunión de Comité de Convivencia,"Temas tratados, conclusiones y compromisos de la reunión.",Español,Físico,Digital,Disponible,N/A,N/A
Acta de reunión de Comisión de Personal,"Temas tratados, conclusiones y compromisos de la reunión.",Español,Físico,Digital,Disponible,N/A,N/A
Certificaciones laborales,"Constancia de empleo, duración, sueldo, descuentos y funciones de los cargos de la planta del ICFES.",Español,Físico,Digital,Disponible,N/A,N/A
Historia laboral,"Recopilación de documentos personales del servidor público y de su trayectoria en el Instituto, en temas de capacitación, salud, incapacidades, afiliaciones, fondos de pensiones y cesantías, novedades, vacaciones, etc.",Español,Físico,Texto,Disponible,N/A,N/A
Seguimiento Evaluación del Desempeño Anual,"Registro de los acuerdos de gestión, compromisos y evaluación del desempeño del funcionario público. Hoja de vida , certificaciones de carácter académico y profesional, afiliaciones de seguridad social, antecedentes, evolución médica, registro de entrenamiento en el puesto de trabajo, actos administrativos y comunicaciones. contrato laboral , compromisos laborales y evaluación de desempeño",Español,Físico,Digital,Disponible,N/A,N/A
Liquidación de la nómina,"Relación de documentos físicos y virtuales generados durante las actividades y etapas establecidas para el registro de novedades, afiliaciones a seguridad social, descuentos y liquidación de la nómina de los funcionarios del Icfes.",Español,Físico,Digital,Disponible,N/A,N/A
Instrumentos de control del Sistema de Gestión de Seguridad y Salud en el Trabajo,"Manuales de Requisitos, de Responsabilidades, de Calificación de Enfermedades Laborales y del Sistema de Gestión de Seguridad y Salud en el Trabajo para Contratistas y Proveedores",Español,Físico,Digital,Disponible,N/A,N/A
INFORMES DE GESTIÓN,Informes periódicos acerca de la gestión del proceso de talento humano.,Español,Físico,Digital,Disponible,N/A,N/A
PLANES DE LA DIMENSIÓN DEL TALENTO HUMANO,"Planes de acción: Plan Anual de Vacantes, Plan de Bienestar e Incentivos, Plan de Previsión de Recursos Humanos, Plan de Seguridad y Salud en el Trabajo, Plan Estratégico de Talento Humano y Plan Institucional de Capacitación",Español,Físico,Digital,Disponible,N/A,N/A
POLÍTICAS,Políticas de los diferentes planes y programas que se desarrollan en el Proceso de Gestión del Talento Humano.,Español,Electrónico - Digital,Digital,Disponible,N/A,N/A
Usuarios y contraseñas de administración de servidores,"Credenciales de los servidores, excluyendo los de nube pública y los servidores físicos, collocation, nube privada",Español,Electrónico - Digital,Texto,"Ni disponible,Ni publicada",N/A,N/A
Portales Web,"Portal Institucional, Portal contratación e Intranet (https://www.icfes.gov.co) y Portal Infantil (http://icfesnautas.icfes.gov.co)",Español,Electrónico - Digital,Bases de datos,Publicada,N/A,Portal Web
Información de la Arquitectura Empresarial,Información relacionada con los ejercicios de arquitectura empresarial para todos los dominios de la AE,Español,Electrónico - Digital,Texto,Disponible,Confluence,N/A
Datos del registro de incidentes y solicitudes de servicio,Solicitudes e incidentes registrados por los usuarios en la Mesa de Servicios,Español,Electrónico - Digital,Bases de datos,Disponible,Sistema interno de gestión de mesa de servicios.,N/A
Acta de reunión de refinamiento,Acta donde se plasman los comentarios realizados por el equipo de desarrollo sobre las historias de usuarios presentadas.,Español,Físico -Electrónico- Digital,Texto,"Ni disponible,Ni publicada",N/A,N/A
Documentos de Diseño de los sistemas de Información,Se generan los diseños para el desarrollo de requerimientos en la herramientra draw.io y el resultado es un archivo XML que se almacena en BITBUCKET,Español,Electrónico - Digital,Digital,"Ni disponible,Ni publicada",N/A,N/A
Documentos de Arquitectura de los Sistemas de Información,"Documentos como motivadores arquitecturales, vistas de arquitectura, y atributos de calidad de los sistemas de información del Icfes.",Español,Electrónico - Digital,Digital,"Ni disponible,Ni publicada",N/A,N/A
Documento de Plan de Pruebas,Documentos en el cual el proveedor de pruebas presenta la planeación de las pruebas para cada sprint.,Español,Electrónico - Digital,Digital,"Ni disponible,Ni publicada",N/A,N/A
Escenarios de pruebas,"Documento donde se realizar el registro de los pasos a seguir para probar los diferentes escenarios de registro de aplicación, de acuerdo con los criterios de aceptación.",Español,Electrónico - Digital,Digital,"Ni disponible,Ni publicada",N/A,N/A
Certificación de pruebas,Documento donde el proveedor certifica que el desarrollo cumple con los criterios de aceptación para paso a producción,Español,Electrónico - Digital,Digital,"Ni disponible,Ni publicada",N/A,N/A
Documentos de parametrización y configuración de los sistemas de información,"Son los documentos que se generan al finalizar los desarrollos, los cuales permiten orientar al usuario sobre los cambios. Entre ellos están los manuales técnicos y los manuales de usuarios.",Español,Electrónico - Digital,Digital,"Ni disponible,Ni publicada",N/A,N/A
"Conjunto de datos para compartir, con datos personales","Para análisis al interior del Instituto o para entes externos con los que se tienen convenios administrativos, se dispone de conjuntos de datos de resultados y datos del formulario de inscripción, entre estos tenemos (DIIN, ftp para convenios)",Español,Electrónico - Digital,Texto,Disponible,FTP,N/A
"Conjunto de datos para compartir, anonimizados","Para permitir el análisis de la información del Instituto por parte de entes externos o grupos de investigación, se dispone de conjuntos de datos de resultados y datos del formulario de inscripción anonimizados, esto es un espacio en el ftp que se destina para grupos investigadores, y datos abiertos, o en general cualquier persona que tenga la ruta. Los datos personales no se incluyen en estos conjuntos de datos, y sólo se incluyen datos sensibles si se tiene la autorización para su publicación",Español,Electrónico - Digital,Digital,Disponible,FTP,N/A
Planes de la Dirección de Tecnología e Información,Planes de Mantenimiento de Servicios Tecnológicos Planes de Seguridad y Privacidad de la Información Plan Estratégico de Tecnologías de la Información y las Comunicaciones de la DTI PETIC,Español,Electrónico - Digital,Texto,Publicada,N/A,https://www.icfes.gov.co/transparencia-acceso-informacion-publica
Ficha técnica de impresión,"Es el documento que relaciona las artes gráficas de cuadernillos y hojas de respuesta a imprimir, con sus respectivas formas, tipos y dimensiones. Dicho documento orienta y regula el procedimiento de impresión que debe efectuar el proveedor de impresión.",Español,Electrónico - Digital,Hoja de cálculo,No publicada,N/A,N/A
Acta de entrega de material para impresión,"Es el formato establecido en el Sistema de Gestión de Calidad que específica el número de formas y artes gráficas de cuadernillos y hojas de respuestas entregados al proveedor de impresión, para que este pueda orientarse en el proceso de impresión.",Español,Físico,No aplica,"Ni disponible,Ni publicada",N/A,N/A
Artes gráficas de cuadernillos y hojas de respuesta,Documentos almacenados en formato digital que expone gráficamente la diagramación de los cuadernillos y las hojas de respuesta que se utilizarán en la aplicación de examenes de la vigencia respectiva por el ICFES.,Español,Electrónico - Digital,Documentos gráficos,"Ni disponible,Ni publicada",N/A,N/A
Base de Armado,"Base que contiene la posición final de los ítems dentro de los bloques, formas y cuadernillos de las pruebas que se aplican, así como las claves de los ítems.",Español,Electrónico - Digital,Bases de datos,"Ni disponible,Ni publicada",N/A,N/A
Informe interno de gestión,"Documento que muestra la ejecución realizada de los objetivos, metas y presupuesto planteado de acuerdo con las funciones de la Unidad de Atención al Ciudadano.",Español,Físico -Electrónico- Digital,Texto,Disponible,Expediente Informes Internos de Gestión,N/A
Manual de trámites y servicios asociados a trámites,Documento que contiene los trámites y servicios asociados a los trámites del ICFES.,Español,Electrónico - Digital,Texto,Publicada,N/A,https://www.icfes.gov.co/servicios
CONSECUTIVOS DE COMUNICACIONES OFICIALES,"Consecutivos de Comunicaciones Oficiales enviadas, internas y recibidas",Español,Físico -Electrónico- Digital,Texto,"Ni disponible,Ni publicada",N/A,N/A
String de respuestas para el procesamiento de análisis de ítems y de calificación de pruebas de Estado.,"String de respuestas a partir del cual se hace el análisis de los ítems, análisis de copia y asignación de puntajes pruebas de SABER 11°, SABER PRO, PRE SABER, VALIDANTES, y SABER TyT. Así como los puntos de corte de los niveles de Inglés.",Otro,Electrónico - Digital,Bases de datos,No disponible,N/A,N/A
Talleres para Divulgaciones,Diseño de los talleres de resultados que se implementan en la ejecución de las estrategias de divulgación de cada prueba.,Español,Electrónico - Digital,Documentos gráficos,Publicada,www.icfes.gov.co,Sección divulgación
Informes y actas,Informes y actas que se realizan de información institucional de la OACM,Español,Físico -Electrónico- Digital,Texto,"Ni disponible,Ni publicada",N/A,N/A
Estrategias de divulgación.,"Todos los documentos que soportan las estrategias de divulgación. Planeación, cronograma, rutas, convocatoria, bases de datos, diseño y producción del material, encuestas, certificados e informes finales.",Español,Electrónico - Digital,Digital,Disponible,Nube (OneDrive SAYD),N/A
String de respuestas para el procesamiento de calificación de nuevos negocios.,"String de respuestas a partir del cual se hace el procesamiento de asignación de puntajes y análisis de ítem de los nuevos negocios que surgen por la venta de servicios del Instituto (Saber 359, policía, Ecdf, y otro nuevos negocios).",Otro,Electrónico - Digital,Bases de datos,No disponible,N/A,N/A
Histórico de string de lectura depurada para el procesamiento de análisis de ítems.,"Histórico del string de lectura depurada a partir del cual se hace el análisis de los ítems y el procesamiento de calificación de las pruebas aplicadas por el icfes. Esto contiene: comandos para winstep, análisis de ítem, control de lectura (validación).",Otro,Electrónico - Digital,Texto,No disponible,N/A,N/A
Informes nacionales y por agregados,"Publicación de informes nacionales de las pruebas aplicadas en la vigencia (Saber 3º, 5º, 9º, 11°, Pro, TyT, PISA, ECDF).",Español,Electrónico - Digital,Digital,Disponible,www.icfes.gov.co,N/A
Archivos de comandos (script) para el análisis de ítems de pruebas de estado.,"Archivos de comandos para el análisis de ítems de pruebas de pruebas de Estado (Saber 11, Saber Pro, Validantes y Pre Saber)",Otro,Electrónico - Digital,Texto,No disponible,N/A,N/A
Archivos de comandos (script) para el análisis de ítems de pruebas de Nuevos negocios.,"Archivos de comandos para el análisis de ítems de pruebas de Nuevos negocios (Saber 3, 5, 9, Policía, ECDF, otros nuevos negocios que aplique)",Otro,Electrónico - Digital,Texto,No disponible,N/A,N/A
Archivos de comandos (script) para la calificación de pruebas de Estado.,Archivos con el script para producir escalas de calificación por agregados y calificaciones a nivel individual.,Otro,Electrónico - Digital,Texto,No disponible,N/A,N/A
Archivos de comandos (script) para la calificación de nuevos negocios.,"Archivos con el script para producir escalas de calificación (asignación de puntajes) de los nuevos negocios (Saber 3, 5, 9, Policía, ECDF, otros nuevos negocios que aplique).",Otro,Electrónico - Digital,Texto,No disponible,N/A,N/A
Archivos de comandos (script) para calibración de ítems de pruebas de estado.,Archivos con el script para analizar y calibrar ítems de las pruebas de Estado.,Otro,Electrónico - Digital,Texto,No disponible,N/A,N/A
Archivos de comandos (script) para la calibración de ítems de nuevos negocios,"Archivos con el script para analizar y calibrar ítems de los negocios que surjan por la venta de servicios del ICFES (Saber 3, 5, 9, Policía, ECDF, otros nuevos negocios que aplique)",Otro,Electrónico - Digital,Texto,No disponible,N/A,N/A
Archivos de comandos para el análisis de copia de las pruebas de estado.,"Archivos con el script para la detección de copia a nivel individual de los exámenes de estado (SABER 11°, Validantes, SABER PRO, Saber TyT).",Otro,Electrónico - Digital,Texto,No disponible,N/A,N/A
Archivos de comandos para el análisis de copia de nuevos negocios.,"Archivos con el script para la detección de copia a nivel individual de los exámenes de nuevos negocios (Saber 3, 5, 9, otros nuevos negocios que aplique)",Otro,Electrónico - Digital,Texto,No disponible,N/A,N/A
"Archivos de comandos para el análisis y producción de datos de estudios psicométricos, estadísticos aplicados sobre investigaciones de interés institucional",Archivos de comandos (script) para producir información interpretable para aplicaciones en los procesamientos de datos de la Subdirección de Estadísticas y de otras dependencias relacionados con investigación.,Otro,Electrónico - Digital,Texto,No disponible,N/A,N/A
Otros documentos de análisis e interpretación de resultados,Otros documentos académicos que se producen adicionales durante el año.,Español,Electrónico - Digital,Digital,Disponible,www.icfes.gov.co / nube (OneDrive-SAYD),N/A
"Gestión administrativa, calidad y planeación.","Procesos de calidad, auditorías, Seguimiento de procesos, mapa de riesgos, presupuesto, gestión contractual y precontractual, operador logístico, comisiones, indicadores, y de más labores administrativas.",Español,Electrónico - Digital,Digital,Disponible,Nube (One Drive -Sayd),N/A
Comunicaciones internas (campañas de la Entidad),"Comunicaciones dirigidas a los funcionarios, contratistas, pasantes y demás colaboradores a nivel interno del ICFES. Incluye las piezas de diseños, edición de fotos, videos y audios",Español,Electrónico - Digital,Digital,No disponible,N/A,N/A
Guiones que orientan el desarrollo de los ERS.,"Guiones para replicar talleres de análisis e interpretación de resultados y sesiones con madres, padres y cuidadores.",Español,Electrónico - Digital,Digital,Disponible,Nube (OneDrive-SAYD),N/A
Salidas del análisis de copia de exámenes de estado.,"Archivos con estadísticos que permiten identificar los casos con indicios de copia nivel individual o masivo, los cuales se generan para calibración de ítems y para actuación administrativa ante OAJ o a la OAP de acuerdo a los estipulado en el contrato. SABER 11°, SABER PRO, SABER y VALIDANTES",Español,Electrónico - Digital,Compresión,No disponible,N/A,N/A
Salidas del análisis de copia de nuevos negocios.,"Archivos con estadísticos que permiten identificar los casos con indicios de copia nivel individual o masivo, los cuales se generan para calibración de ítems para examen SABER 3°, 5° y 9° y nuevos negocios que apliquen .",Español,Electrónico - Digital,Compresión,No disponible,N/A,N/A
"Salidas para el análisis y producción de datos de estudios psicométricos, estadísticos y aplicados sobre investigaciones de interés institucional","Archivos con información interpretable para mejoramiento en los procesamientos de datos de la Subdirección de Estadísticas y la producción de reportes de investigación. Documentos, reportes o artículos científicos de divulgación sobre las investigaciones que realiza el instituto sobre investigación psicométrica, estadística y aplicada.",Español,Electrónico - Digital,Compresión,Disponible,\\icfesserv5\academica$,N/A
Reportes y estadísticos de los ítems (análisis de ítem) de pruebas de Estado,"Estadísticos y reportes sobre las características psicométricas de los ítems que componen cada una de las pruebas de los exámenes de estado, SABER 11°, SABER PRO y PRE SABER. Documentos finales de análisis de ítems, los cuales representan el reporte de los gestores de pruebas para el análisis de ítems dudosos o el análisis específico de ítems, el cual tiene como insumo los reportes y alertas estadísticos, y sirve para identificar las oportunidades de mejora, actualización o eliminación de ítems, para el proceso de calificación de una prueba aplicada.",Español,Electrónico - Digital,Hoja de cálculo,No disponible,N/A,N/A
Reportes y estadísticos de los ítems (análisis de ítem) de nuevos negocios.,"Estadísticos y reportes sobre las características psicométricas de los ítems que componen cada una de las pruebas de Saber 3, 5 y 9 y Nuevos negocios.",Español,Electrónico - Digital,Hoja de cálculo,No disponible,N/A,N/A
Calibración final de los ítems que se usarán en la calificación de los exámenes de estado,"Estadísticos de los ítems que se usarán finalmente para la calificación de las pruebas: SABER 11°, SABER PRO, Validantes, SABER TyT, PRE-SABER",Español,Electrónico - Digital,Hoja de cálculo,No disponible,N/A,N/A
Reporte final de análisis de ítems que se usarán en la calificación de Internacionales,Estadísticos de los ítems que se usarán finalmente para la calificación de las pruebas: internacionales pisa for school,Español,Electrónico - Digital,Hoja de cálculo,No disponible,N/A,N/A
"Escalas y asignación de puntajes (archivos de calificación) con procesamiento de los exámenes de Estado: SABER 11°, SABER PRO, Validantes, y PRE SABER.","Escalas o archivos de calificación para cada una de las pruebas de SABER 11°, SABER PRO y PRE SABER. Así como los archivos que componen el procesamiento de calificación son: Tablas de publicación, resultados de procesamiento, individual básico, bases de datos de insumo, y descripción de procesamiento.",Español,Electrónico - Digital,Compresión,No disponible,N/A,N/A
Escalas y asignación de puntajes (archivos de calificación) con procesamiento de nuevos negocios.,"Escalas o archivos de calificación para cada una de los negocios que surgen por la venta de servicios del Instituto. Así como los archivos que componen el procesamiento de calificación son: Tablas de publicación, resultados de procesamiento, individual básico, bases de datos de insumo, y descripción de procesamiento. -incluyendo saber 359 y los nuevos negocios que lo requieran.",Español,Electrónico - Digital,Compresión,No disponible,N/A,N/A
Insumos para generación de reportes Nacional de las pruebas Internacionales.,Archivos con insumos para generación de reportes Nacional de las pruebas Internacionales (tablas y gráficos),Español,Electrónico - Digital,Documentos gráficos,No disponible,N/A,N/A
Bases de datos de agregados por afirmaciones para pruebas de Estado.,Las bases de datos que contienen la información de la calificación por planteles y poblaciones agrupadas para pruebas de Estado.,Español,Electrónico - Digital,Hoja de cálculo,No disponible,N/A,N/A
"Muestras para la prueba controlada de Saber 359, muestras de Estudios internacionales y nuevos negocios.","Archivos que contienen los datos de muestras a nivel de individuos, establecimientos educativos o instituciones de educación superior que harán parte de las muestras en los diferentes exámenes o estudios especiales. Así como, muestras de los salones que se incluyen en el estudio, muestra de acuerdo con los parámetros acordados con los consorcios internacionales y manuales de procesamiento para la construcción de marcos de muestreo.",Español,Electrónico - Digital,Bases de datos,No disponible,N/A,N/A
"Marcos para la elaboración de muestras de Saber 359, muestras de Estudios internacionales y nuevos negocios.",Marcos a partir de los cuales se generan las muestras para los exámenes o estudios especiales y la generación de manuales de procesamiento para la construcción de marcos de muestreo.,Español,Electrónico - Digital,Texto,No disponible,N/A,N/A
Base de datos con información de SISBEN- Ser pilo paga y generación E,Información relacionada de SISBEN de los códigos anonimizados por puntajes de las personas que se clasifican como beneficiarios de programa ser pilo paga y generación E - información subida a individual básico,Español,Electrónico - Digital,Bases de datos,No disponible,N/A,N/A
